Date,Open,High,Low,Close
9-Dec-16,8272,8275,8242,8261.75
12-Dec-16,8231,8231,8154,8170.8
13-Dec-16,8196,8229,8156,8221.8
14-Dec-16,8229,8229,8165,8182.45
15-Dec-16,8128,8226,8122,8153.6
16-Dec-16,8178,8179,8127,8139.45
19-Dec-16,8126,8133,8095,8104.35
20-Dec-16,8111,8124,8063,8082.4
21-Dec-16,8106,8113,8053,8061.3
22-Dec-16,8044,8046,7965,7979.1
23-Dec-16,7973,8023,7942,7985.75
26-Dec-16,7965,7970,7894,7908.25
27-Dec-16,7915,8045,7904,8032.85
28-Dec-16,8048,8101,8028,8034.85
29-Dec-16,8031,8111,8021,8103.6
30-Dec-16,8120,8197,8115,8185.8
2-Jan-17,8210,8212,8134,8179.5
3-Jan-17,8196,8219,8149,8192.25
4-Jan-17,8203,8219,8181,8190.5
5-Jan-17,8227,8283,8224,8273.8
6-Jan-17,8282,8307,8233,8243.8
9-Jan-17,8259,8263,8228,8236.05
10-Jan-17,8263,8294,8261,8288.6
11-Jan-17,8328,8389,8322,8380.65
12-Jan-17,8391,8417,8382,8407.2
13-Jan-17,8458,8461,8373,8400.35
16-Jan-17,8391,8427,8374,8412.8
17-Jan-17,8415,8441,8378,8398
18-Jan-17,8404,8460,8397,8417
19-Jan-17,8418,8445,8404,8435.1
20-Jan-17,8404,8424,8341,8349.35
23-Jan-17,8330,8404,8327,8391.5
24-Jan-17,8407,8481,8398,8475.8
25-Jan-17,8499,8613,8494,8602.75
27-Jan-17,8611,8673,8607,8641.25
30-Jan-17,8636,8663,8618,8632.75
31-Jan-17,8629,8632,8552,8561.3
1-Feb-17,8570,8722,8538,8716.4
2-Feb-17,8725,8758,8686,8734.25
3-Feb-17,8735,8748,8708,8740.95
6-Feb-17,8785,8814,8770,8801.05
7-Feb-17,8806,8809,8741,8768.3
8-Feb-17,8775,8791,8715,8769.05
9-Feb-17,8796,8821,8724,8778.4
10-Feb-17,8812,8822,8771,8793.55
13-Feb-17,8820,8827,8754,8805.05
14-Feb-17,8820,8820,8773,8792.3
15-Feb-17,8779,8808,8713,8724.7
16-Feb-17,8739,8784,8720,8778
17-Feb-17,8884,8896,8804,8821.7
20-Feb-17,8819,8886,8810,8879.2
21-Feb-17,8891,8921,8861,8907.85
22-Feb-17,8932,8961,8905,8926.9
23-Feb-17,8956,8982,8928,8939.5
27-Feb-17,8944,8952,8889,8896.7
28-Feb-17,8899,8915,8868,8879.6
1-Mar-17,8904,8961,8899,8945.8
2-Mar-17,8983,8993,8880,8899.75
3-Mar-17,8884,8907,8860,8897.55
6-Mar-17,8915,8968,8914,8963.45
7-Mar-17,8978,8978,8933,8946.9
8-Mar-17,8951,8957,8892,8924.3
9-Mar-17,8915,8946,8900,8927
10-Mar-17,8954,8976,8904,8934.55
14-Mar-17,9092,9123,9061,9087
15-Mar-17,9087,9107,9076,9084.8
16-Mar-17,9130,9158,9129,9153.7
17-Mar-17,9208,9218,9148,9160.05
20-Mar-17,9167,9168,9116,9126.85
21-Mar-17,9134,9148,9087,9121.5
22-Mar-17,9047,9073,9019,9030.45
23-Mar-17,9049,9099,9049,9086.3
24-Mar-17,9104,9134,9089,9108
27-Mar-17,9093,9095,9025,9045.2
28-Mar-17,9082,9110,9080,9100.8
29-Mar-17,9129,9153,9109,9143.8
30-Mar-17,9143,9183,9136,9173.75
31-Mar-17,9159,9192,9152,9173.75
3-Apr-17,9221,9245,9192,9237.85
5-Apr-17,9264,9274,9215,9265.15
6-Apr-17,9246,9268,9219,9261.95
7-Apr-17,9224,9251,9188,9198.3
10-Apr-17,9226,9226,9175,9181.45
11-Apr-17,9185,9243,9173,9237
12-Apr-17,9243,9246,9162,9203.45
13-Apr-17,9203,9203,9145,9150.8
17-Apr-17,9145,9160,9120,9139.3
18-Apr-17,9163,9218,9095,9105.15
19-Apr-17,9112,9121,9075,9103.5
